"appl_type","appl_no","product_no","patent_no","patexpstr","patexp","drugsub","drugprod","patuse","delist"
"N",202514,1,"5886035","Dec 18, 2022",12/18/2022,"Y","Y","U-778",
"N",21671,1,"5891467","Jan 31, 2017",1/31/2017,,"Y",,
"N",21674,1,"5891868","Nov 21, 2017",11/21/2017,,"Y","U-594",
"N",21544,1,"5898032","Jun 23, 2017",6/23/2017,,,"U-1",
"N",21153,1,"5900424*PED","Nov 4, 2016",11/4/2016,,,,
"N",21957,1,"5900424*PED","Nov 4, 2016",11/4/2016,,,,
"N",22101,1,"5900424*PED","Nov 4, 2016",11/4/2016,,,,
"N",22511,1,"5900424*PED","Nov 4, 2016",11/4/2016,,,,
"N",204655,1,"5900424*PED","Nov 4, 2016",11/4/2016,,,,
"N",207920,1,"5900424*PED","Nov 4, 2016",11/4/2016,,,,
"N",204153,1,"5900488","Jan 18, 2020",1/18/2020,"Y","Y",,
"N",20564,1,"5905082*PED","Nov 18, 2016",11/18/2016,,,,
"N",20596,1,"5905082*PED","Nov 18, 2016",11/18/2016,,,,
"N",20857,1,"5905082*PED","Nov 18, 2016",11/18/2016,,,,
"N",21003,1,"5905082*PED","Nov 18, 2016",11/18/2016,,,,
"N",21205,1,"5905082*PED","Nov 18, 2016",11/18/2016,,,,
"N",21652,1,"5905082*PED","Nov 18, 2016",11/18/2016,,,,
"N",205551,1,"5905082*PED","Nov 18, 2016",11/18/2016,,,,
"N",50808,1,"5908838","Feb 19, 2018",2/19/2018,,,"U-917",
"N",201922,1,"5908838","Feb 19, 2018",2/19/2018,,,"U-1376",
"N",21235,1,"5910319","May 29, 2017",5/29/2017,,,"U-396",
"N",21235,1,"5910319*PED","Nov 29, 2017",11/29/2017,,,,
"N",21302,1,"5912238*PED","Dec 15, 2016",12/15/2016,,,,
"N",21500,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",21752,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",21896,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",21937,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",202123,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",203100,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",207561,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",208215,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",208351,1,"5914331","Jul 2, 2017",7/2/2017,"Y",,,
"N",21500,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",21752,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",21896,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",21937,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",202123,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",203100,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",207561,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",208215,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",208351,1,"5914331*PED","Jan 2, 2018",1/2/2018,,,,
"N",21316,1,"5916595","Dec 12, 2017",12/12/2017,,,,
"N",21346,1,"5916598","May 2, 2017",5/2/2017,,"Y",,
"N",21897,1,"5916598","May 2, 2017",5/2/2017,,"Y",,
"N",21346,1,"5916598*PED","Nov 2, 2017",11/2/2017,,,,
"N",50805,1,"5919775","Aug 30, 2016",8/30/2016,,,"U-925","Y"
"N",21008,1,"5922338","Jul 13, 2016",7/13/2016,,"Y",,
"N",21008,1,"5922338*PED","Jan 13, 2017",1/13/2017,,,,
"N",21008,1,"5922682","Jul 13, 2016",7/13/2016,,"Y",,
"N",21008,1,"5922682*PED","Jan 13, 2017",1/13/2017,,,,
"N",21356,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-1275",
"N",21356,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-248",
"N",21356,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-250",
"N",21356,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-256",
"N",21356,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-999",
"N",21752,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-1170",
"N",21752,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-1259",
"N",21752,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-248",
"N",21752,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-541",
"N",21937,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-1170",
"N",21937,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-750",
"N",22577,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-1275",
"N",22577,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-248",
